omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
40190.953125,6396.588857418408,0.954285,0.9539674000000002,0.456,0.4546,-0.40932932440904923,26.046661366647225,0.8570793621037788,0.4188899226748481,6396.588867,102347.984375,0.0,1000000.0,1.647,2793.0,1296.0,1.197,0.424,0.02,1.664,2779.0,1353.0,1.148,0.404,0.003,3.0
40844.109375,6500.541903217274,0.955292,0.9553346000000003,0.446,0.4478000000000001,-0.39688985664239834,25.65705006595827,0.8611403726322305,0.41364411827074693,6500.541992,104039.171875,0.0,1000000.0,1.647,2789.0,1300.0,1.198,0.424,0.002,1.664,2771.0,1361.0,1.135,0.405,0.001,3.0
41473.171875,6600.66030960602,0.956238,0.9564576000000001,0.44,0.44060000000000005,-0.3866855518173887,25.244520453464073,0.8651120128267552,0.407912179103052,6600.660156,105590.0625,0.0,1000000.0,1.647,2790.0,1294.0,1.202,0.424,0.017,1.664,2783.0,1352.0,1.15,0.405,0.003,3.0
42074.902344,6696.428688156374,0.958221,0.9575866000000001,0.435,0.43300000000000005,-0.3764387972872013,24.80907252916465,0.8692119370035054,0.40179933433266674,6696.429199,107120.351563,0.0,1000000.0,1.648,2800.0,1296.0,1.205,0.424,0.016,1.667,2785.0,1347.0,1.152,0.406,0.001,3.0
42742.757813,6802.72118731868,0.958252,0.9586242,0.426,0.42560000000000003,-0.36703223307276844,24.385083760767838,0.8731064629517032,0.3957846146297329,6802.721191,108834.828125,0.0,1000000.0,1.647,2790.0,1295.0,1.204,0.424,0.017,1.664,2781.0,1348.0,1.145,0.406,0.002,3.0
43375.046875,6903.353116998918,0.95993,0.9595642000000001,0.418,0.41800000000000004,-0.3585192664493078,23.949635836468413,0.8769482503494621,0.3895192166384828,6903.353027,110461.335938,0.0,1000000.0,1.647,2791.0,1296.0,1.198,0.424,0.007,1.667,2785.0,1353.0,1.152,0.407,0.003,3.0
43982.296875,6999.999956191471,0.96048,0.9604920000000001,0.409,0.4112,-0.35012496108113245,23.56002453577945,0.880427145935528,0.3839178593967996,7000.0,111989.460938,0.0,1000000.0,1.647,2816.0,1303.0,1.194,0.424,0.011,1.664,2816.0,1350.0,1.154,0.407,0.001,3.0
44606.792969,7099.391596493153,0.960938,0.9614808,0.402,0.4042,-0.3411876770239757,23.158954079187875,0.8840020984711245,0.3781343923359633,7099.39209,113560.453125,0.0,1000000.0,1.647,2816.0,1296.0,1.206,0.424,0.011,1.664,2788.0,1347.0,1.155,0.408,0.003,3.0
45249.277344,7201.64616063371,0.96286,0.962488,0.401,0.3978,-0.33209352867537634,22.792261090304148,0.8873325910361723,0.37285925364543787,7201.645996,115254.234375,0.0,1000000.0,1.648,2792.0,1296.0,1.205,0.424,0.007,1.667,2800.0,1349.0,1.16,0.408,0.002,3.0
45862.667969,7299.270310648687,0.963196,0.9635316,0.391,0.3922,-0.32268075290363685,22.471404725030887,0.8903710384821122,0.36828325787475774,7299.27002,116758.242188,0.0,1000000.0,1.647,2791.0,1299.0,1.192,0.424,0.008,1.664,2786.0,1347.0,1.154,0.408,0.001,3.0
