omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
16958.666016,2699.0555246909394,0.147583,0.1489258,-3.022,-3.0148,-16.540601165572472,-172.7353160760406,-0.14773030923167021,-0.018832143796049756,2699.055908,43180.085938,0.0,1000000.0,1.647,2789.0,1296.0,1.201,0.424,0.026,1.643,2160.0,1926.0,0.181,0.063,0.007,3.0
17599.957031,2801.1201596886085,0.137024,0.13797600000000002,-3.062,-3.0682,-17.203928992848383,-175.79491070203918,-0.13760456417991118,-0.010117336253021554,2801.120117,44819.402344,0.0,1000000.0,1.647,2816.0,1296.0,1.204,0.424,0.057,1.643,2147.0,1934.0,0.168,0.058,0.015,3.0
18212.132813,2898.550961435055,0.12735,0.12819200000000003,-3.119,-3.1172000000000004,-17.84278153445073,-178.60240389818023,-0.12815386467164347,-0.0031266329688813977,2898.551025,46372.066406,0.0,1000000.0,1.647,2816.0,1297.0,1.202,0.424,0.034,1.643,2136.0,1935.0,0.154,0.054,0.003,3.0
18849.556641,3000.0001145058127,0.118011,0.11915880000000001,-3.174,-3.1642000000000006,-18.477477580775066,-181.2953055352951,-0.11912835073553757,0.002693634806492173,3000.0,47995.484375,0.0,1000000.0,1.647,2791.0,1296.0,1.204,0.424,0.039,1.643,2130.0,1949.0,0.145,0.05,0.005,3.0
19472.681641,3099.17353841995,0.110992,0.11082140000000001,-3.209,-3.2114000000000007,-19.107527354514147,-183.9996663283126,-0.11055148965752569,0.007729866264172528,3099.174072,49591.597656,0.0,1000000.0,1.647,2787.0,1300.0,1.192,0.423,0.028,1.643,2128.0,1955.0,0.136,0.047,0.003,3.0
20095.476563,3198.2944287887817,0.102417,0.10317980000000002,-3.257,-3.2558000000000007,-19.728106365652845,-186.54359893869346,-0.1025076276199516,0.011758291022480272,3198.293945,51173.992188,0.0,1000000.0,1.648,2790.0,1291.0,1.202,0.424,0.035,1.643,2119.0,1951.0,0.127,0.044,0.014,3.0
20736.585938,3300.330154882587,0.095337,0.0962402,-3.298,-3.2966000000000006,-20.332869662905768,-188.88126674282722,-0.09508631817163721,0.014858270175298843,3300.330078,52811.433594,0.0,1000000.0,1.648,2791.0,1300.0,1.199,0.424,0.035,1.644,2115.0,1963.0,0.119,0.041,0.006,3.0
21371.378906,3401.3605935797627,0.089142,0.0898072,-3.341,-3.3400000000000003,-20.933776875802902,-191.36790357369497,-0.0880453395518453,0.017701733108378522,3401.361084,54417.414063,0.0,1000000.0,1.647,2792.0,1297.0,1.203,0.424,0.101,1.643,2112.0,1969.0,0.113,0.038,0.012,3.0
21994.814453,3500.583442584012,0.083313,0.08402100000000001,-3.378,-3.3816000000000006,-21.512243077741672,-193.75140800143922,-0.0816126412602445,0.019972611935514036,3500.583984,56013.179688,0.0,1000000.0,1.648,2789.0,1301.0,1.198,0.424,0.038,1.644,2107.0,1975.0,0.105,0.035,0.01,3.0
22628.519531,3601.4407382101476,0.078827,0.0787476,-3.426,-3.4242000000000004,-22.075253467628105,-196.1922082086965,-0.07562381007993584,0.021959595960622677,3601.440918,57627.117188,0.0,1000000.0,1.647,2790.0,1297.0,1.2,0.424,0.092,1.642,2099.0,1971.0,0.101,0.034,0.014,3.0
