omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,clip_flags,input_dc_v,input_pp_v,input_rms_v,output_dc_v,output_pp_v,output_rms_v,valid_capture_count
41473.171875,6600.66030960602,0.606659,0.6076904,0.79,0.792,-4.326352487467291,45.378257374361205,0.42685583681408873,0.4325294404198447,0.0,1.647,1.204,0.424,1.641,0.738,0.257,3.0
42074.902344,6696.428688156374,0.616089,0.6147338,0.788,0.7856000000000001,-4.22625814689055,45.01156438547748,0.434594694924524,0.43477016457652645,0.0,1.648,1.207,0.424,1.645,0.748,0.261,3.0
42742.757813,6802.72118731868,0.62088,0.6211548,0.776,0.7790000000000001,-4.136003087999768,44.633412240691136,0.4420239810418186,0.43640358127194834,0.0,1.647,1.206,0.424,1.641,0.749,0.263,3.0
43375.046875,6903.353116998918,0.628662,0.627716,0.776,0.7726000000000002,-4.04473602749077,44.266719251807416,0.44950635639826914,0.43814542359078945,0.0,1.648,1.206,0.424,1.645,0.766,0.267,3.0
43982.296875,6999.999956191471,0.633484,0.6337036000000001,0.765,0.7654000000000001,-3.96227651377755,43.85418963931321,0.456967015041689,0.4390460110476451,0.0,1.647,1.198,0.424,1.641,0.765,0.269,3.0
44606.792969,7099.391596493153,0.639465,0.6397156,0.758,0.7594000000000001,-3.8802611703819,43.51041496223472,0.46395324831022583,0.4404355029578678,0.0,1.648,1.202,0.424,1.641,0.775,0.271,3.0
45249.277344,7201.64616063371,0.646027,0.6453492,0.752,0.7520000000000001,-3.8041044795407037,43.086426193837916,0.47131409231687404,0.4408385377030473,0.0,1.648,1.205,0.424,1.645,0.787,0.274,3.0
45862.667969,7299.270310648687,0.65094,0.6510194,0.746,0.7454000000000001,-3.728121390313182,42.70827404905157,0.47837989775524514,0.4415641885389272,0.0,1.647,1.196,0.424,1.641,0.784,0.276,3.0
46492.914063,7399.577091873145,0.65683,0.6567018,0.739,0.7392,-3.6526358664516785,42.353040216070454,0.48530772140641365,0.44241798072247784,0.0,1.647,1.204,0.424,1.641,0.791,0.278,3.0
47140.726563,7502.679653444863,0.661835,0.6619874,0.732,0.733,-3.5830055333373796,41.99780638308934,0.4919694694233271,0.44293719522533886,0.0,1.647,1.206,0.424,1.641,0.807,0.28,3.0
47754.9375,7600.434360169519,0.667877,0.6675294,0.727,0.727,-3.5105920381714846,41.65403170601085,0.4987590465369109,0.44366080890918413,0.0,1.647,1.198,0.424,1.641,0.812,0.283,3.0
48385.367188,7700.7703612866,0.672455,0.6727784000000001,0.721,0.7205999999999999,-3.442559206016061,41.28733871712711,0.5055323926757038,0.44392316391706593,0.0,1.647,1.205,0.424,1.641,0.815,0.285,3.0
49032.664063,7803.790858590786,0.67865,0.6780396000000001,0.716,0.7152000000000001,-3.3748988200257335,40.97794150775648,0.5118942020805212,0.44463695870283515,0.0,1.648,1.197,0.424,1.641,0.821,0.288,3.0
49620.414063,7897.3341763930475,0.683075,0.6829164,0.707,0.709,-3.31264915450637,40.62270767477536,0.5183426511979379,0.44462985205455213,0.0,1.647,1.206,0.424,1.641,0.834,0.29,3.0
50265.484375,8000.000305189679,0.688141,0.6880616,0.705,0.703,-3.2474535799841355,40.27893299769687,0.5249263886056034,0.4448382312032535,0.0,1.647,1.189,0.424,1.641,0.83,0.292,3.0
50875.996094,8097.16626308406,0.692261,0.6928346000000001,0.696,0.697,-3.1874086376590154,39.93515832061838,0.5312457532035114,0.44474457013030966,0.0,1.647,1.206,0.424,1.641,0.843,0.294,3.0
51501.523438,8196.722031920803,0.698181,0.6976868,0.691,0.6914,-3.12678987297814,39.61430195534512,0.5374658920672283,0.44485647770783177,0.0,1.648,1.208,0.424,1.641,0.853,0.296,3.0
52142.617188,8298.755271218623,0.702515,0.7022950000000001,0.686,0.6852,-3.069608470778333,39.259068122364006,0.5437817491820885,0.4444318578606491,0.0,1.647,1.202,0.424,1.641,0.856,0.298,3.0
52799.878906,8403.361722543395,0.707336,0.7072876000000001,0.679,0.6802,-3.0080791159922784,38.9725892247986,0.5498785835702901,0.44484749346769575,0.0,1.647,1.208,0.424,1.641,0.857,0.3,3.0
53417.089844,8501.59389425648,0.711182,0.711792,0.674,0.6748000000000001,-2.9529379488794714,38.66319201542795,0.555789910428028,0.4446857617806136,0.0,1.647,1.204,0.424,1.641,0.857,0.302,3.0
54048.90625,8602.150598397937,0.717224,0.7162719999999999,0.671,0.6692000000000001,-2.8984405128647017,38.342335650154695,0.5617851684683427,0.44434558901039595,0.0,1.648,1.205,0.424,1.645,0.874,0.304,3.0
