omega_rad_s,freq_hz,Magnitude_raw,Magnitude_smooth,Phase_raw_rad,Phase_smooth_rad,Magnitude_dB,Phase_deg,Real_part,Imag_part,actual_freq_hz,adc_sample_rate_hz,clip_flags,dac_sample_rate_hz,input_dc_v,input_max_code,input_min_code,input_pp_v,input_rms_v,magnitude_repeat_span_db,output_dc_v,output_max_code,output_min_code,output_pp_v,output_rms_v,phase_repeat_span_rad,valid_capture_count
17849.957031,2840.9088954615822,0.143402,0.1385254,-3.116,-3.1062000000000003,-17.16941174232281,-177.97215032353634,-0.13843864783278637,-0.004901757989717113,2840.91,45454.5,0.0,1000000.0,1.647,2419.0,1670.0,0.603,0.212,0.067,1.642,2096.0,1978.0,0.092,0.031,0.004,3.0
18212.132813,2898.550961435055,0.126556,0.13118280000000002,-3.115,-3.1286000000000005,-17.642462072800477,-179.25557578462937,-0.1311717277340142,-0.001704364724363765,2898.55,46372.1,0.0,1000000.0,1.648,2816.0,1298.0,1.202,0.424,0.032,1.643,2136.0,1931.0,0.16,0.054,0.005,3.0
18479.957031,2941.1765096094764,0.132813,0.12870480000000004,-3.17,-3.1588000000000003,-17.808105118689234,-180.98590832592447,-0.12868574618974518,0.002214558788673256,2941.18,47052.3,0.0,1000000.0,1.647,2419.0,1671.0,0.602,0.212,0.059,1.642,2096.0,1985.0,0.085,0.028,0.008,3.0
18849.556641,3000.0001145058127,0.117126,0.1218322,-3.175,-3.178000000000001,-18.284758267864852,-182.08598729257568,-0.12175146494020592,0.00443460728292927,3000.0,47995.5,0.0,1000000.0,1.647,2793.0,1296.0,1.205,0.424,0.006,1.643,2131.0,1949.0,0.145,0.05,0.004,3.0
19097.828125,3039.5137484131733,0.123627,0.1197144,-3.218,-3.2080000000000006,-18.437072135664817,-183.80486067796812,-0.11945053059135541,0.007944073816604611,3039.51,48627.0,0.0,1000000.0,1.647,2420.0,1669.0,0.604,0.212,0.122,1.642,2088.0,1989.0,0.079,0.026,0.011,3.0
19472.681641,3099.17353841995,0.109039,0.1135132,-3.212,-3.2264000000000004,-18.899072663014973,-184.85910302100882,-0.11310523490488114,0.009615217696529564,3099.17,49591.6,0.0,1000000.0,1.647,2790.0,1300.0,1.193,0.424,0.166,1.643,2123.0,1955.0,0.134,0.046,0.013,3.0
19737.755859,3141.361410500869,0.115967,0.1118898,-3.265,-3.2506000000000004,-19.024190048811413,-186.24566088522542,-0.11122568705004066,0.012172669562853318,3141.36,50266.1,0.0,1000000.0,1.647,2421.0,1668.0,0.605,0.212,0.021,1.643,2088.0,1993.0,0.076,0.025,0.004,3.0
20095.476563,3198.2944287887817,0.101807,0.10604259999999999,-3.262,-3.2676000000000003,-19.490392651632497,-187.2196891369478,-0.10520184900724208,0.01332681433116848,3198.29,51174.0,0.0,1000000.0,1.647,2791.0,1296.0,1.204,0.424,0.024,1.643,2120.0,1955.0,0.127,0.043,0.006,3.0
20355.892578,3239.7409248363247,0.109009,0.1045718,-3.296,-3.2994000000000003,-19.611708327651517,-189.04169492546384,-0.10327241586581318,0.01643379069108953,3239.74,51829.3,0.0,1000000.0,1.647,2424.0,1670.0,0.604,0.212,0.173,1.642,2088.0,1983.0,0.077,0.023,0.02,3.0
20736.585938,3300.330154882587,0.094391,0.0991152,-3.303,-3.3144000000000005,-20.07719476702034,-189.90113161816006,-0.0976389713012197,0.017042715578205074,3300.33,52811.4,0.0,1000000.0,1.648,2791.0,1297.0,1.201,0.424,0.095,1.644,2113.0,1963.0,0.116,0.04,0.003,3.0
